매물ID,제조사,모델,현재가격,차량연령,주행거리_km,연료,색상,지역,변속기,배기량,차급,좌석수,상사명,압류건수,저당건수,보험이력공개여부,보험이력건수,성능점검유형,옵션_기본코드 개수,옵션_선택코드 개수,옵션_튜닝코드 개수,옵션_기타개수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,교환_개수,판금_개수,부식_여부,교환_여부,판금_여부,외판수리_여부,보험이력_여부,사고종합_여부
41562050,0,92,1730,8,77498,4,22,4,1,2199,0,7,105,0,0,1,4,1,45,3,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41556366,0,90,1420,9,120061,4,17,6,1,1995,1,5,993,0,0,1,1,1,38,2,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41560471,0,51,2790,3,4993,1,17,1,1,1598,1,5,117,0,0,1,0,1,43,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41611189,0,95,2149,4,119560,4,2,8,1,2151,0,9,78,0,0,1,1,1,34,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1
41404395,0,74,2239,4,105686,4,22,8,1,1998,1,5,486,0,0,1,1,1,44,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41412993,0,88,420,14,95432,1,18,6,1,998,2,5,237,0,0,1,3,1,19,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1
41414100,0,89,520,9,19961,1,8,1,1,998,2,2,607,0,0,1,1,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
41386049,0,95,2599,3,91791,1,2,1,1,3470,0,9,718,0,0,1,0,1,45,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41493651,0,14,2359,6,80438,1,2,1,1,2999,3,5,849,0,0,1,0,1,50,6,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
41492333,0,78,3530,4,57749,3,22,1,1,1598,1,7,920,0,0,1,0,1,47,5,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41466736,0,5,460,11,175904,4,22,10,1,1582,6,5,578,0,0,1,0,1,30,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
41452018,0,56,4570,2,25944,3,22,10,1,1598,1,6,912,0,0,1,0,1,51,7,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41363396,0,44,1290,3,34344,1,22,5,1,998,2,2,912,0,0,1,0,1,22,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
41368660,0,69,2280,5,12652,1,17,1,1,1591,1,5,521,0,0,1,0,1,44,5,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
41365618,0,47,1480,4,21591,1,22,1,1,998,2,5,605,0,0,1,0,1,28,2,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
41385711,0,78,3390,5,28477,3,19,10,1,1598,1,7,645,0,0,1,0,1,48,4,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
41260837,0,55,2150,7,95904,4,17,5,1,1995,1,5,800,0,0,1,1,1,48,3,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41450486,0,68,3780,5,66682,4,2,10,1,2959,1,6,273,0,0,1,0,1,49,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
40978838,0,86,1350,8,126564,1,2,1,1,2999,3,5,886,0,0,1,1,1,44,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
40843443,0,9,2490,5,36032,1,17,5,1,1598,7,5,956,0,0,1,1,1,45,2,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
39492534,0,31,2600,5,123386,1,2,10,1,3778,3,5,924,0,0,1,2,1,49,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
40202093,0,39,900,13,76794,1,22,8,1,2359,3,5,32,0,0,1,2,1,41,3,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
40255106,0,8,750,10,127125,4,2,8,1,1685,7,5,250,0,0,1,4,1,32,2,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1
40682476,0,92,1088,11,142499,4,11,6,1,2199,0,9,538,0,0,1,1,1,43,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1
41546382,0,92,499,11,314441,4,22,4,1,2199,0,6,184,0,0,1,9,1,25,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1
41548336,0,39,449,11,196167,1,2,1,1,2359,3,5,903,0,0,1,4,1,45,5,0,0,1,0,1,1,1,1,1,1,1,1,2,0,0,1,0,1,1,1
