매물ID,모델,현재가격,제조사_기아,주행거리_km,배기량,좌석수,차량연령,사고강도점수,변속기,연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,색상_흰색,색상_검정색,색상_은색,색상_기타,차급_SUV,차급_세단,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트
41650844,올 뉴 카니발,1780,1,21428,2199,9,10,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1
41635823,더 뉴 쏘렌토,2130,1,100365,1995,5,6,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41593754,올 뉴 쏘렌토,1690,1,79617,1995,7,10,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1
41624264,K5 하이브리드,510,1,91109,1999,5,13,11,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1
41599080,쏘렌토 4세대,3550,1,38189,2497,6,3,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41603748,쏘렌토 4세대,2600,1,122244,2151,5,5,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
41586286,스팅어,2270,1,95474,3342,5,8,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
41620243,더 뉴 기아 레이,1550,1,49499,998,5,3,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
41645819,스포티지 더 볼드,1440,1,115537,1598,5,4,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1
41631452,모닝 어반 (JA),1350,1,62594,998,5,4,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1
41549390,카니발 4세대,2690,1,114026,2151,9,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41548412,EV6,2790,1,115421,111,5,4,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1
41548058,더 뉴 쏘렌토 4세대,4180,1,48366,1598,5,2,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
41619229,카니발 4세대,2520,1,66059,2151,9,4,7,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
41516812,더 뉴 카니발 4세대,6200,1,7251,3470,7,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
