매물ID,모델,모델_원본,모델_LE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
41288693,GV70,GV70,8,4650,10082,2497,5,4,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41289552,G70,더 뉴 G70,4,4100,10755,2497,5,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41289557,G70,G70,4,2599,83907,3342,5,7,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41289953,GV70,GV70,8,3470,97011,2497,5,5,5,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41291749,GV70,GV70,8,6010,19849,2497,5,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41292867,G70,G70,4,1890,92994,1998,5,7,8,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41293489,G90,G90 (RS4),6,7550,57321,3470,5,4,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41293952,GV70,GV70,8,3670,44332,2497,5,5,4,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41294930,G90,G90,6,3200,113931,3778,5,7,13,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41295407,G90,G90,6,3040,121061,3778,5,8,4,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41295704,GV60,GV60,7,3870,89252,111,5,4,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0
41296604,G80,G80 (RG3),5,3559,49081,2497,5,5,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41297847,GV80,GV80,9,6549,71720,2497,6,2,2,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41298506,GV70,GV70,8,3950,55748,2497,5,5,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41300169,G80,G80 (RG3),5,4220,51432,2497,5,4,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41300296,G90,G90 (RS4),6,6020,78750,3470,4,3,11,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41301683,GV70,GV70,8,4370,42267,2151,5,4,5,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41302334,G70,G70,4,1799,145070,3342,5,8,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41302504,G70,더 뉴 G70,4,2390,162726,1998,5,6,10,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41307988,G80,G80,5,1870,86979,3778,5,10,3,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41311626,GV80,GV80,9,6500,45692,2497,7,3,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41311842,GV80,GV80,9,6890,14750,2497,7,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41311901,G70,더 뉴 G70,4,3610,50950,1998,5,5,2,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41312037,GV80,GV80,9,5880,16121,2497,5,4,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41312385,GV70,GV70,8,3920,84018,2151,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41312577,GV80,GV80,9,5250,72451,3470,5,5,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41312579,G80,G80 (RG3),5,5050,42811,3470,5,4,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41313634,GV70,GV70,8,9999,26902,2497,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41315470,GV80,GV80,9,7250,11966,2497,5,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41315895,GV80,GV80,9,3990,96406,2996,5,6,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41315923,GV80,GV80,9,6890,31614,2497,5,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41323689,GV80,GV80,9,7650,12831,2497,7,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41323811,G70,더 뉴 G70,4,3799,46288,3342,5,5,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41324095,GV80,GV80,9,7250,46682,3470,5,2,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
