매물ID,모델,모델_원본,모델_LE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
40824454,티볼리,티볼리 에어,105,980,88965,1597,5,8,8,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40833857,렉스턴,렉스턴 스포츠,35,1440,140821,2157,5,8,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40835648,코란도,코란도 투리스모,92,650,141183,2157,9,10,8,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40835734,티볼리,티볼리 아머,105,700,157694,1597,5,8,13,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40835986,코란도,더 뉴 코란도 스포츠,92,1070,129000,2157,5,9,4,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40837827,코란도,뷰티풀 코란도,92,1699,43064,1497,5,6,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40838916,코란도,뉴코란도 C,92,398,202769,1998,5,12,4,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40842813,티볼리,티볼리 아머,105,1070,66592,1597,5,9,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
40846730,코란도,코란도 스포츠,92,650,115997,1998,5,12,3,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40849473,코란도,뉴코란도 C,92,300,137945,1998,5,12,16,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40857106,티볼리,베리 뉴 티볼리,105,1640,44538,1497,5,4,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40857481,코란도,코란도 스포츠,92,680,161414,1998,5,12,15,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40862138,코란도,뷰티풀 코란도,92,1599,99953,1497,5,5,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40865263,렉스턴,G4 렉스턴,35,1250,177131,2157,5,9,2,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40871678,티볼리,티볼리 에어,105,670,96091,1597,5,10,8,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40872899,렉스턴,렉스턴 스포츠,35,1320,123236,2157,5,7,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40878353,코란도,더 뉴 코란도 스포츠,92,870,96134,2157,5,9,13,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
40879495,티볼리,티볼리 아머,105,1230,55281,1597,5,8,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40880262,티볼리,티볼리 에어,105,600,168421,1597,5,8,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40881407,코란도,코란도 투리스모,92,460,147031,1998,9,12,9,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40884132,렉스턴,렉스턴 W,35,590,172144,1998,7,13,4,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
40884888,티볼리,티볼리 아머,105,1099,72365,1597,5,9,3,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
40885838,코란도,뷰티풀 코란도,92,1599,99953,1497,5,5,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
