매물ID,모델_CV_TE,현재가격_만원,모델,모델_원본,모델_LE,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
40691935,988.0567474787636,1650,스타렉스,더 뉴 그랜드 스타렉스,50,39036,2497,5,8,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41259369,809.9140873524058,635,SM6,SM6,20,169170,1997,5,10,7,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
41146996,469.43562524615083,340,크루즈,크루즈,95,87555,1796,5,14,8,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41553156,1266.4080669370128,1500,EQ900,EQ900,0,212665,3342,5,9,5,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41538861,811.0980067611623,1440,제네시스 쿠페,더 뉴 제네시스 쿠페,82,113287,3778,4,11,14,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41445470,1256.713002151279,1580,코나,코나,91,73732,1591,5,6,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41077794,402.80707679553126,150,SM5,뉴SM5(신형),19,190419,1998,5,16,12,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
40315414,817.29454516165,299,말리부,말리부,40,143695,1956,5,12,7,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
41626233,1198.965116369793,1590,베뉴,베뉴,45,41307,1598,5,7,9,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41494017,1072.7523168570258,1110,싼타페,싼타페 더 프라임,56,169201,1995,5,8,7,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
41583020,969.3889001833381,940,티볼리,티볼리 에어,105,119860,1597,5,9,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
41470715,487.46355435797625,330,크루즈,어메이징 뉴 크루즈,95,99040,1796,5,11,15,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41394347,916.1401938066147,1290,그랜저,그랜저 IG,27,145342,2359,5,8,4,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41619032,553.7149246371913,290,올란도,올란도,77,179204,1998,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41583047,895.5676356997402,1290,레이,더 뉴 레이,34,64543,998,5,7,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41610987,776.2184387131722,55,GV80,GV80,9,87475,2497,5,3,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41475797,702.4010571269893,550,에쿠스,에쿠스(신형),73,270047,3778,5,13,5,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41648217,811.0980067611623,890,제네시스 쿠페,더 뉴 제네시스 쿠페,82,161208,1998,4,11,9,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
41197614,1057.082523447645,990,싼타페,싼타페 DM,56,167918,1995,7,11,6,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41046613,970.8411733726565,680,티볼리,티볼리 에어,105,116423,1597,5,9,6,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41246095,1264.805265999821,1600,렉스턴,렉스턴 스포츠,35,94282,2157,5,8,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40476315,874.0501334751542,840,레이,레이,34,26700,998,5,12,4,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41299700,947.3443649473054,1000,아반떼,아반떼 AD,62,71173,1591,5,9,16,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41311339,1247.4949211722349,1690,렉스턴,렉스턴 스포츠 칸,35,104855,2157,5,7,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
40118580,444.45152312654096,450,SM3,SM3 네오,18,94048,1598,5,12,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1
41626345,1072.7523168570258,790,싼타페,싼타페 DM,56,165508,1995,5,11,6,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
40577991,469.43562524615083,520,크루즈,올 뉴 크루즈,95,150301,1399,5,9,14,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41103281,1072.7523168570258,1095,싼타페,싼타페 DM,56,135414,2199,5,11,3,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
