매물ID,모델_CV_TE,현재가격_만원,모델,모델_원본,모델_LE,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열
41543965,3298.5051288582213,2579,레이,더 뉴 G70 슈팅브레이크,34,41810,1998,5,4,22,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
41199023,3458.0058573363353,3689,스타리아,스타리아,51,28603,1598,9,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
41499702,5406.43473495045,5990,GV80,GV80,9,22460,2497,5,3,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41430976,2619.463897932248,2420,셀토스,더 뉴 셀토스,49,12498,1598,5,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
39404745,3877.838318635213,1880,G80,G80,5,133018,3342,5,7,3,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
40838746,3063.629778185483,3890,싼타페,싼타페 (MX5),56,53536,1598,5,3,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
41177212,2985.7852847364197,2130,싼타페,더 뉴 싼타페,56,139983,2151,5,6,7,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
40866349,2766.3800913523883,2400,렉스턴,더 뉴 렉스턴 스포츠,35,67104,2157,5,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41651067,3438.6524381008708,2050,쏘렌토,더 뉴 쏘렌토,58,81352,2199,5,8,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41646134,3555.8753163906044,2310,팰리세이드,팰리세이드,107,85590,3778,7,4,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41484507,5130.415213793392,2149,G90,G90,6,277587,3342,5,7,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1
41551897,3611.071044237849,3030,팰리세이드,팰리세이드,107,69817,3778,7,6,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41563180,3709.4577210734715,1800,모하비,더 뉴 모하비,43,117239,2959,5,9,5,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41175728,3438.6524381008708,2980,쏘렌토,쏘렌토 4세대,58,70752,2151,5,4,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
41501763,3611.071044237849,3990,팰리세이드,더 뉴 팰리세이드,107,46816,3778,7,4,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
41548731,3578.55046978521,2640,스타리아,스타리아,51,29533,3470,5,4,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
41561291,5373.873808791013,4090,GV80,GV80,9,136172,2497,5,6,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41251694,2513.119275862335,3090,토레스,더 뉴 토레스,100,17311,1497,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
41574075,3094.472649948673,3650,트래버스,트래버스,102,59157,3564,7,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41422069,2501.257721073471,2130,스타렉스,더 뉴 그랜드 스타렉스,50,45008,2497,9,6,3,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
41275384,3611.071044237849,3000,팰리세이드,팰리세이드,107,86930,2199,7,6,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0
41649527,2883.686388250694,2399,G70,G70,4,108376,1998,5,7,7,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
41169386,3757.422508106974,1950,G80,G80,5,80746,3342,5,8,4,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
